2019,Giannis Antetokounmpo,Milwaukee Bucks,2019_Giannis Antetokounmpo,1
2018,James Harden,Houston Rockets,2018_James Harden,1
2017,Russell Westbrook,Oklahoma City Thunder,2017_Russell Westbrook,1
2016,Stephen Curry,Golden State Warriors,2016_Stephen Curry,1
2015,Stephen Curry,Golden State Warriors,2015_Stephen Curry,1
2014,Kevin Durant,Oklahoma City Thunder,2014_Kevin Durant,1
2013,LeBron James,Miami Heat,2013_LeBron James,1
2012,LeBron James,Miami Heat,2012_LeBron James,1
2011,Derrick Rose,Chicago Bulls,2011_Derrick Rose,1
2010,LeBron James,Cleveland Cavaliers,2010_LeBron James,1
2009,LeBron James,Cleveland Cavaliers,2009_LeBron James,1
2008,Kobe Bryant,Los Angeles Lakers,2008_Kobe Bryant,1
2007,Dirk Nowitzki,Dallas Mavericks,2007_Dirk Nowitzki,1
2006,Steve Nash,Phoenix Suns,2006_Steve Nash,1
2005,Steve Nash,Phoenix Suns,2005_Steve Nash,1
2004,Kevin Garnett,Minnesota Timberwolves,2004_Kevin Garnett,1
2003,Tim Duncan,San Antonio Spurs,2003_Tim Duncan,1
2002,Tim Duncan,San Antonio Spurs,2002_Tim Duncan,1
2001,Allen Iverson,Philadelphia 76ers,2001_Allen Iverson,1
2000,Shaquille O'Neal,Los Angeles Lakers,2000_Shaquille O'Neal,1
1999,Karl Malone,Utah Jazz,1999_Karl Malone,1
1998,Michael Jordan,Chicago Bulls,1998_Michael Jordan,1
1997,Karl Malone,Utah Jazz,1997_Karl Malone,1
1996,Michael Jordan,Chicago Bulls,1996_Michael Jordan,1
1995,David Robinson,San Antonio Spurs,1995_David Robinson,1
1994,Hakeem Olajuwon,Houston Rockets,1994_Hakeem Olajuwon,1
1993,Charles Barkley,Phoenix Suns,1993_Charles Barkley,1
1992,Michael Jordan,Chicago Bulls,1992_Michael Jordan,1
1991,Michael Jordan,Chicago Bulls,1991_Michael Jordan,1
1990,Magic Johnson,Los Angeles Lakers,1990_Magic Johnson,1
1989,Magic Johnson,Los Angeles Lakers,1989_Magic Johnson,1
1988,Michael Jordan,Chicago Bulls,1988_Michael Jordan,1
1987,Magic Johnson,Los Angeles Lakers,1987_Magic Johnson,1
1986,Larry Bird,Boston Celtics,1986_Larry Bird,1
1985,Larry Bird,Boston Celtics,1985_Larry Bird,1
1984,Larry Bird,Boston Celtics,1984_Larry Bird,1
1983,Moses Malone,Philadelphia 76ers,1983_Moses Malone,1
1982,Moses Malone,Houston Rockets,1982_Moses Malone,1
1981,Julius Erving,Philadelphia 76ers,1981_Julius Erving,1
1980,Kareem Abdul-Jabbar,Los Angeles Lakers,1980_Kareem Abdul-Jabbar,1
1979,Moses Malone,Houston Rockets,1979_Moses Malone,1
1978,Bill Walton,Portland Trail Blazers,1978_Bill Walton,1
1977,Kareem Abdul-Jabbar,Los Angeles Lakers,1977_Kareem Abdul-Jabbar,1
1976,Kareem Abdul-Jabbar,Los Angeles Lakers,1976_Kareem Abdul-Jabbar,1
1975,Bob McAdoo,Buffalo Braves,1975_Bob McAdoo,1
1974,Kareem Abdul-Jabbar,Milwaukee Bucks,1974_Kareem Abdul-Jabbar,1
1973,Dave Cowens,Boston Celtics,1973_Dave Cowens,1
1972,Kareem Abdul-Jabbar,Milwaukee Bucks,1972_Kareem Abdul-Jabbar,1
1971,Kareem Abdul-Jabbar,Milwaukee Bucks,1971_Kareem Abdul-Jabbar,1
1970,Willis Reed,New York Knicks,1970_Willis Reed,1
1969,Wes Unseld,Baltimore Bullets,1969_Wes Unseld,1
1968,Wilt Chamberlain,Philadelphia 76ers,1968_Wilt Chamberlain,1
1967,Wilt Chamberlain,Philadelphia 76ers,1967_Wilt Chamberlain,1
1966,Wilt Chamberlain,Philadelphia 76ers,1966_Wilt Chamberlain,1
1965,Bill Russell,Boston Celtics,1965_Bill Russell,1
1964,Oscar Robertson,Cincinnati Royals,1964_Oscar Robertson,1
1963,Bill Russell,Boston Celtics,1963_Bill Russell,1
1962,Bill Russell,Boston Celtics,1962_Bill Russell,1
1961,Bill Russell,Boston Celtics,1961_Bill Russell,1
1960,Wilt Chamberlain,Philadelphia Warriors,1960_Wilt Chamberlain,1
1959,Bob Pettit,St. Louis Hawks,1959_Bob Pettit,1
1958,Bill Russell,Boston Celtics,1958_Bill Russell,1
1957,Bob Cousy,Boston Celtics,1957_Bob Cousy,1
1956,Bob Pettit,St. Louis Hawks,1956_Bob Pettit,1
